"Periodo","Índice serie original
2004=100"
"2017-01-01","136.7"
"2017-02-01","132.6"
"2017-03-01","152.1"
"2017-04-01","152.2"
"2017-05-01","167.4"
"2017-06-01","161.7"
"2017-07-01","149.8"
"2017-08-01","149.4"
"2017-09-01","146.7"
"2017-10-01","149.6"
"2017-11-01","152.4"
"2017-12-01","146.1"
"2018-01-01","142.7"
"2018-02-01","139.1"
"2018-03-01","155.6"
"2018-04-01","151.6"
"2018-05-01","159.1"
"2018-06-01","151.5"
"2018-07-01","145.8"
"2018-08-01","147.0"
"2018-09-01","137.9"
"2018-10-01","143.6"
"2018-11-01","141.2"
"2018-12-01","135.7"
"2019-01-01","134.6"
"2019-02-01","132.6"
"2019-03-01","144.4"
"2019-04-01","149.8"
"2019-05-01","162.8"
"2019-06-01","151.3"
"2019-07-01","146.2"
"2019-08-01","141.6"
"2019-09-01","135.1"
"2019-10-01","142.3"
"2019-11-01","138.1"
"2019-12-01","135.4"
"2020-01-01","132.2"
"2020-02-01","129.6"
"2020-03-01","128.4"
"2020-04-01","111.8"
"2020-05-01","130.3"
"2020-06-01","133.8"
"2020-07-01","127.6"
"2020-08-01","125.2"
"2020-09-01","126.7"
"2020-10-01","131.9"
"2020-11-01","133.1"
"2020-12-01","132.4"
